target_freq,$width,$length,$depth,$ground_plane,$x_0,max_total_gain,max_total_directivity,min_s11_f,min_s11_dB,s11_at_target,local_resonance_f,local_resonance_dB
1500000000,55,37,1.6,74,1,0.810812,6.34188,2503200000,-16.4257415,-0.58687467,1804000000,-11.76457287
1500000000,55,37,1.6,74,1,0.78377,6.36314,2507800000,-16.48784332,-0.594787512,1806300000,-12.18095409
1500000000,55,37,1.6,74,1,0.910191,6.35023,2519300000,-18.12438849,-0.590138138,1794800000,-12.25382285
1500000000,55,37,1.6,74,1,0.774124,6.35062,2496300000,-16.62078575,-0.573468375,1799400000,-13.67723818
1500000000,55,37,1.6,74,1,0.825662,6.38758,2514700000,-20.02311083,-0.57300426,1806300000,-12.76076993
1500000000,55,37,1.6,74,2,0.721803,6.37165,2503200000,-17.03077195,-0.569372026,1799400000,-13.19905032
1500000000,55,37,1.6,74,2,0.831589,6.42511,2487100000,-18.53203476,-0.616368641,1233600000,-0.284479331
1500000000,55,37,1.6,74,2,0.635753,6.43266,2512400000,-20.67003861,-0.561568632,1806300000,-13.64173507
1500000000,55,37,1.6,74,2,0.902317,6.46242,2489400000,-19.73771068,-0.60027879,1783300000,-14.81931875
1500000000,55,37,1.6,74,2,0.536203,6.3876,2526200000,-21.25717174,-0.550095364,1813200000,-13.98183292
1500000000,55,37,1.6,74,3,0.357698,6.34348,2521600000,-23.49320622,-0.58019699,1808600000,-13.06651607
1500000000,55,37,1.6,74,3,0.265347,6.36841,2512400000,-20.2516964,-0.566025251,1810900000,-14.586777
1500000000,55,37,1.6,74,3,0.333315,6.39381,2503200000,-30.33668071,-0.603550379,1794800000,-14.0822229
1500000000,55,37,1.6,74,3,0.0748899,6.36647,2517000000,-19.10842988,-0.539125537,1817800000,-16.0971527
1500000000,55,37,1.6,74,3,0.402276,6.40973,2510100000,-19.9724032,-0.588635041,1778700000,-17.49082294
1500000000,55,37,1.6,74,4,0.362415,6.43897,2533100000,-36.69185933,-0.581321114,1810900000,-13.32405955
1500000000,55,37,1.6,74,4,0.263818,6.45244,2519300000,-18.56307856,-0.551446729,1808600000,-17.36977888
1500000000,55,37,1.6,74,4,0.313974,6.4072,2510100000,-20.48015027,-0.60396263,1776400000,-18.31747696
1500000000,55,37,1.6,74,4,0.11075,6.44772,1808600000,-22.71053395,-0.536966649,1808600000,-22.71053395
1500000000,55,37,1.6,74,4,0.0560646,6.44233,1799400000,-23.95081099,-0.539567397,1799400000,-23.95081099
1500000000,55,37,1.6,74,5,0.0902977,6.46428,2519300000,-23.01009789,-0.569743523,1822400000,-14.62342621
1500000000,55,37,1.6,74,5,-0.0669878,6.40312,1808600000,-20.02539423,-0.552821455,1808600000,-20.02539423
1500000000,55,37,1.6,74,5,-0.144077,6.40519,1794800000,-26.63183041,-0.556696014,1794800000,-26.63183041
1500000000,55,37,1.6,74,5,-0.270118,6.4408,1806300000,-27.80594376,-0.540125494,1806300000,-27.80594376
1500000000,55,37,1.6,74,5,-0.522277,6.47693,1822400000,-38.37706862,-0.52017751,1822400000,-38.37706862
1500000000,55,37,1.6,74,6,0.0582624,6.51267,2521600000,-24.94748195,-0.604467403,1787900000,-17.34307205
1500000000,55,37,1.6,74,6,-0.500941,6.44823,1808600000,-25.33518094,-0.551508783,1808600000,-25.33518094
1500000000,55,37,1.6,74,6,-0.437146,6.4758,1787900000,-36.4847168,-0.559414545,1787900000,-36.4847168
1500000000,55,37,1.6,74,6,-0.431106,6.48169,1799400000,-29.6816107,-0.554978743,1799400000,-29.6816107
1500000000,55,37,1.6,74,6,-0.690892,6.49783,1785600000,-20.43624559,-0.533881757,1785600000,-20.43624559
1500000000,55,37,1.6,74,7,-0.470789,6.41871,2505500000,-24.49315148,-0.594001972,1794800000,-22.80047947
1500000000,55,37,1.6,74,7,-0.792726,6.43261,1804000000,-29.76364552,-0.550268705,1804000000,-29.76364552
1500000000,55,37,1.6,74,7,-0.998703,6.50166,1808600000,-24.04118619,-0.530588806,1808600000,-24.04118619
1500000000,55,37,1.6,74,7,-1.23717,6.46749,1804000000,-18.46502624,-0.529327177,1804000000,-18.46502624
1500000000,55,37,1.6,74,7,-1.48057,6.48296,2542300000,-14.90447325,-0.512812176,1801700000,-14.41162206
1500000000,55,37,1.6,74,8,-0.774389,6.48387,1799400000,-29.07047177,-0.560378066,1799400000,-29.07047177
1500000000,55,37,1.6,74,8,-0.631316,6.44409,1767200000,-30.1672989,-0.598246446,1767200000,-30.1672989
1500000000,55,37,1.6,74,8,-0.907569,6.48642,2503200000,-27.06404771,-0.576921986,1764900000,-20.7978539
1500000000,55,37,1.6,74,8,-1.8592,6.55456,2537700000,-14.90600655,-0.51001448,1810900000,-13.34053586
1500000000,55,37,1.6,74,8,-1.83663,6.56096,2519300000,-14.55791174,-0.509510721,1774100000,-10.12845609
1500000000,55,38,1.6,76,1,1.16602,6.49209,2512400000,-24.67105844,-0.668149297,1769500000,-11.24873057
1500000000,55,38,1.6,76,1,1.16408,6.48995,2498600000,-20.63234563,-0.7004823,1751100000,-12.09467343
1500000000,55,38,1.6,76,1,1.08457,6.43958,2512400000,-31.77584438,-0.684422442,1764900000,-11.18486588
1500000000,55,38,1.6,76,1,1.2238,6.4498,2498600000,-16.97586364,-0.67360478,1762600000,-12.48168897
1500000000,55,38,1.6,76,1,1.03173,6.4324,2505500000,-20.76293819,-0.658920712,1767200000,-12.21269635
1500000000,55,38,1.6,76,2,1.04837,6.47962,2507800000,-26.92333607,-0.685967645,1767200000,-11.94136038
1500000000,55,38,1.6,76,2,1.02957,6.48748,2510100000,-32.06865792,-0.690212024,1764900000,-11.97234201
1500000000,55,38,1.6,76,2,0.99828,6.426,2505500000,-20.89364336,-0.669283935,1767200000,-12.39096967
